player_id,name,active,seasons_played,All-Star,TripleCrown,MVP,CYA,3000H,500HR,1500RBI,3000K,300W,300SV,VOTE%,inducted,prediction
gagneer01,Eric Gagne,0.0,11.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003502626970227671,0.0,0.0
garvene01,Ned Garver,0.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003424657534246575,0.0,0.0
fitzsfr01,Freddie Fitzsimmons,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06015037593984963,0.0,0.0
frasech01,Chick Fraser,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036496350364963507,0.0,0.0
francjo01,John Franco,0.0,21.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.04647160068846816,0.0,0.0
coombja01,Jack Coombs,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016528925619834708,0.0,0.0
coneda01,David Cone,0.0,19.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03896103896103896,0.0,0.0
coaklan01,Andy Coakley,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038167938931297713,0.0,0.0
chesbja01,Jack Chesbro,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021897810218978103,0.0,0.0
chandsp01,Spud Chandler,0.0,11.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02985074626865672,0.0,0.0
carrocl02,Clay Carroll,0.0,17.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024813895781637717,0.0,0.0
candito01,Tom Candiotti,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038759689922480615,0.0,0.0
candejo01,John Candelaria,0.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002012072434607646,0.0,0.0
campbbi02,Bill Campbell,0.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023640661938534287,0.0,0.0
camniho01,Howie Camnitz,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004048582995951417,0.0,0.0
cadorle01,Leon Cadore,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008264462809917356,0.0,0.0
bushjo01,Bullet Joe Bush,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01879699248120301,0.0,0.0
bushgu01,Guy Bush,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010362694300518135,0.0,0.0
burdele01,Lew Burdette,0.0,21.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24069478908188585,0.0,0.0
bunniji01,Jim Bunning,0.0,18.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7423887587822015,0.0,0.0
brownto05,Tom Browning,0.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001941747572815534,0.0,0.0
brownmo01,Mordecai Brown,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2703862660944206,0.0,0.0
brownke01,Kevin Brown,0.0,19.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02065404475043029,0.0,0.0
brilene01,Nelson Briles,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024813895781637717,0.0,0.0
bridgto01,Tommy Bridges,0.0,16.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07462686567164177,0.0,0.0
