player_id,inn_outs,po,a,e,dp,zr,FPCT%,RF,CS%
pattepa01,0.0,11.0,29.0,2.0,0.0,0.0,0.9523809523809523,inf,
pattere01,213.0,8.0,9.0,0.0,1.0,0.0,1.0,0.7183098591549296,
pattere02,15.0,1.0,1.0,0.0,0.0,0.0,1.0,1.2,
pattero01,0.0,75.0,432.0,23.0,12.0,0.0,0.9566037735849057,inf,
pattesc01,12.0,0.0,0.0,0.0,0.0,0.0,,0.0,
pattige01,0.0,1.0,1.0,2.0,0.0,0.0,0.5,inf,
pattiji01,0.0,0.0,2.0,0.0,0.0,0.0,1.0,inf,
pattima01,6116.0,123.0,274.0,14.0,16.0,0.0,0.9659367396593674,0.5842053629823414,
pattobi01,0.0,4.0,3.0,0.0,1.0,0.0,1.0,inf,
pattoda01,84.0,0.0,2.0,1.0,0.0,0.0,0.6666666666666666,0.21428571428571427,
pattoha01,0.0,0.0,3.0,0.0,0.0,0.0,1.0,inf,
pattosp01,27.0,3.0,5.0,0.0,2.0,0.0,1.0,2.6666666666666665,
pattoto01,15.0,4.0,2.0,0.0,1.0,0.0,1.0,3.6,0.5
pattotr01,510.0,8.0,13.0,1.0,3.0,0.0,0.9545454545454546,0.37058823529411766,
paulaca01,5482.0,407.0,12.0,22.0,6.0,0.0,0.9501133786848073,0.6878876322510032,
pauleda01,627.0,12.0,22.0,0.0,1.0,0.0,1.0,0.4880382775119617,
paulege01,0.0,4372.0,497.0,78.0,311.0,0.0,0.9842328684050939,inf,
paulife01,1215.0,25.0,49.0,5.0,4.0,0.0,0.9367088607594937,0.5481481481481482,
pauliro01,12972.0,3383.0,273.0,35.0,24.0,0.0,0.990517474939041,2.536540240518039,0.2920353982300885
pauljo01,5835.0,1435.0,113.0,16.0,20.0,0.0,0.989769820971867,2.387660668380463,0.25943396226415094
paullo01,0.0,5.0,4.0,5.0,0.0,0.0,0.6428571428571429,inf,
paulmi01,1882.0,19.0,76.0,4.0,7.0,0.0,0.9595959595959596,0.4543039319872476,
paulsbe01,348.0,799.0,56.0,3.0,70.0,0.0,0.9965034965034965,22.112068965517242,
paulsgi01,0.0,0.0,1.0,0.0,0.0,0.0,1.0,inf,
paulxa01,3921.0,243.0,13.0,5.0,1.0,0.0,0.9808429118773946,0.5876052027543994,
pauxtsi01,0.0,11.0,1.0,0.0,0.0,0.0,1.0,inf,
pavanca01,5366.0,112.0,241.0,7.0,22.0,0.0,0.9805555555555555,0.5920611256056653,
pavlada01,153.0,3.0,5.0,0.0,0.0,0.0,1.0,0.47058823529411764,
pavledo01,9418.0,2556.0,177.0,36.0,109.0,3.0,0.9869989165763814,2.611700998088766,0.24892703862660945
pavliro01,2229.0,50.0,90.0,8.0,9.0,0.0,0.9459459459459459,0.5652759084791387,
pawelte01,0.0,0.0,0.0,0.0,0.0,0.0,,,
pawlojo01,53.0,1.0,2.0,0.0,0.0,0.0,1.0,0.5094339622641509,
pawlost01,51.0,3.0,8.0,0.0,0.0,0.0,1.0,1.9411764705882353,
paxtoja01,294.0,1.0,16.0,3.0,1.0,0.0,0.85,0.5204081632653061,
paxtomi01,1399.0,39.0,55.0,1.0,6.0,0.0,0.9894736842105263,0.6047176554681916,
paynefr01,0.0,1214.0,312.0,43.0,38.0,0.0,0.9725940089228808,inf,
paynege01,0.0,1.0,3.0,0.0,0.0,0.0,1.0,inf,
payneha01,0.0,25.0,166.0,14.0,2.0,0.0,0.9317073170731708,inf,
