player_id,g,ab,r,h,double,triple,hr,rbi,sb,cs,so,g_idp,BB,SAC,TB,XBH,AVG,OBP,SLG,OPS
albrija01,41,99.0,9.0,23.0,4.0,0.0,2.0,5.0,1.0,0.0,11.0,2.0,10.0,3.0,33.0,6.0,0.232,0.295,0.333,0.628
alburvi01,102,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alcalsa01,68,71.0,6.0,8.0,1.0,0.0,1.0,4.0,0.0,0.0,41.0,0.0,2.0,7.0,12.0,2.0,0.113,0.125,0.169,0.294
alcanar01,81,304.0,36.0,59.0,11.0,2.0,10.0,30.0,9.0,5.0,104.0,3.0,24.0,4.0,104.0,23.0,0.194,0.25,0.342,0.592
alcanis01,51,115.0,15.0,31.0,3.0,0.0,6.0,15.0,1.0,1.0,26.0,3.0,6.0,0.0,52.0,9.0,0.27,0.306,0.452,0.758
alcarlu01,115,365.0,30.0,70.0,9.0,2.0,4.0,29.0,2.0,2.0,58.0,7.0,23.0,4.0,95.0,15.0,0.192,0.237,0.26,0.497
alcocsc01,54,156.0,12.0,27.0,4.0,2.0,0.0,7.0,4.0,2.0,14.0,0.0,8.0,5.0,35.0,6.0,0.173,0.207,0.224,0.431
alderda01,16,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aldremi01,930,2147.0,277.0,565.0,104.0,9.0,41.0,271.0,19.0,18.0,381.0,43.0,348.0,32.0,810.0,154.0,0.263,0.361,0.377,0.738
aldresc01,229,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aldrico01,13,18.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,3.0,1.0,0.056,0.056,0.167,0.223
aldrija01,62,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aldrivi01,248,581.0,46.0,133.0,14.0,4.0,2.0,60.0,2.0,0.0,41.0,0.0,10.0,32.0,161.0,20.0,0.229,0.23,0.277,0.507
alenoch01,118,320.0,34.0,67.0,11.0,3.0,2.0,34.0,3.0,0.0,35.0,7.0,32.0,4.0,90.0,16.0,0.209,0.278,0.281,0.559
alexabo01,9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alexada01,662,2450.0,369.0,811.0,164.0,30.0,61.0,459.0,20.0,28.0,197.0,0.0,254.0,32.0,1218.0,255.0,0.331,0.389,0.497,0.886
alexado01,562,265.0,19.0,44.0,8.0,0.0,0.0,17.0,0.0,0.0,77.0,7.0,10.0,25.0,52.0,8.0,0.166,0.18,0.196,0.376
alexaga01,432,1276.0,169.0,293.0,45.0,11.0,55.0,202.0,8.0,12.0,381.0,34.0,171.0,23.0,525.0,111.0,0.23,0.316,0.411,0.727
alexahu01,7,11.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.091,0.091,0.091,0.182
alexama01,374,168.0,111.0,36.0,4.0,2.0,0.0,4.0,103.0,42.0,26.0,2.0,20.0,8.0,44.0,6.0,0.214,0.286,0.262,0.548
alexama02,594,1271.0,166.0,293.0,50.0,12.0,15.0,115.0,37.0,10.0,276.0,17.0,100.0,23.0,412.0,77.0,0.231,0.282,0.324,0.606
alexani01,20,69.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,0.13,0.143,0.13,0.273
alexape01,703,1810.0,154.0,378.0,60.0,13.0,11.0,163.0,3.0,5.0,276.0,0.0,79.0,88.0,497.0,84.0,0.209,0.231,0.275,0.506
alexawa01,162,405.0,26.0,76.0,18.0,3.0,1.0,24.0,5.0,1.0,83.0,0.0,46.0,16.0,103.0,22.0,0.188,0.261,0.254,0.515
alfarja01,7,11.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,1.0,2.0,0.0,0.182,0.167,0.182,0.349
