player_id,w,l,g,cg,sho,sv,ipouts,h,er,hr,so,BB,ERA,WHIP,BAA,K/9,BB/9,K/BB
barnefr02,1,3,15,0,0,1,110.0,40,24,4,30,38.0,5.89,2.127,0.274,7.36,9.33,0.79
barneje01,152,150,422,180,26,13,7709.0,2686,918,88,653,540.0,3.22,1.255,0.265,2.29,1.89,1.21
barneju01,0,0,2,0,0,0,1.0,0,0,0,0,1.0,0.0,3.0,0.0,0.0,27.0,0.0
barnema01,3,4,37,0,0,0,156.0,67,30,10,47,19.0,5.19,1.654,0.31,8.13,3.29,2.47
barnere02,35,31,155,20,6,1,1793.0,474,286,48,336,425.0,4.31,1.504,0.219,5.06,6.4,0.79
barneri01,1,3,10,0,0,1,86.0,39,18,1,8,18.0,5.65,1.988,0.325,2.51,5.65,0.44
barnero01,0,0,1,0,0,0,4.0,7,3,0,0,0.0,20.25,5.25,0.538,0.0,0.0,
barnesc01,0,1,22,0,0,1,83.0,25,16,4,26,15.0,5.2,1.446,0.238,8.46,4.88,1.73
barnevi01,61,59,205,58,7,11,3282.0,1192,445,46,275,301.0,3.66,1.365,0.275,2.26,2.48,0.91
barnhed01,0,0,1,0,0,0,3.0,0,0,0,0,2.0,0.0,2.0,0.0,0.0,18.0,0.0
barnhle01,1,1,3,0,0,0,52.0,25,13,1,2,8.0,6.75,1.904,0.329,1.04,4.15,0.25
barnige01,3,3,20,1,0,0,173.0,49,42,2,28,50.0,6.55,1.717,0.227,4.37,7.8,0.56
barnoed01,0,0,6,0,0,0,22.0,7,2,0,8,8.0,2.45,2.045,0.259,9.82,9.82,1.0
barojsa01,18,21,179,0,0,35,1170.0,374,171,33,177,203.0,3.95,1.479,0.255,4.08,4.68,0.87
baronda01,1,3,16,0,0,0,123.0,50,26,11,18,22.0,5.71,1.756,0.314,3.95,4.83,0.82
barraky01,2,1,25,0,0,0,73.0,12,7,1,30,20.0,2.59,1.315,0.158,11.1,7.4,1.5
barrbo01,49,98,158,141,6,1,3982.0,1455,565,31,588,397.0,3.83,1.395,0.271,3.99,2.69,1.48
barrbo02,0,0,2,0,0,0,7.0,5,1,0,0,2.0,3.86,3.0,0.385,0.0,7.71,0.0
barreaa01,6,3,90,0,0,0,210.0,61,27,2,84,33.0,3.47,1.343,0.234,10.8,4.24,2.55
barrebi02,1,0,4,0,0,0,15.0,2,4,0,2,9.0,7.2,2.2,0.125,3.6,16.2,0.22
barredi01,35,58,141,32,3,2,2187.0,753,347,29,271,334.0,4.28,1.491,0.261,3.35,4.12,0.81
barrefr01,15,17,104,0,0,12,653.0,211,85,8,90,92.0,3.51,1.392,0.254,3.72,3.8,0.98
barrere01,69,69,253,67,11,7,3790.0,1292,496,78,333,324.0,3.53,1.279,0.259,2.37,2.31,1.03
barreti01,0,0,4,0,0,1,28.0,10,6,2,5,2.0,5.79,1.286,0.27,4.82,1.93,2.5
