,g,ab,r,h,double,triple,hr,rbi,sb,cs,so,g_idp,BB,SAC,TB,XBH,AVG,OBP,SLG,OPS,VOTE%,inducted
buckldi01,524.0,1833.0,213.0,449.0,72.0,14.0,26.0,216.0,25.0,0.0,188.0,0.0,119.0,4.0,627.0,112.0,0.245,0.29,0.342,0.632,,
bucklke01,5.0,7.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,3.0,1.0,0.28600000000000003,0.444,0.429,0.873,,
bucknbi01,2517.0,9397.0,1077.0,2715.0,498.0,49.0,174.0,1208.0,183.0,73.0,453.0,247.0,603.0,144.0,3833.0,721.0,0.289,0.327,0.408,0.735,0.02127659574468085,0.0
bucktr01,253.0,810.0,99.0,197.0,52.0,7.0,20.0,95.0,8.0,3.0,186.0,16.0,92.0,10.0,323.0,79.0,0.243,0.317,0.39899999999999997,0.716,,
budasma01,13.0,36.0,3.0,6.0,2.0,0.0,0.0,2.0,0.0,1.0,12.0,0.0,5.0,0.0,8.0,2.0,0.16699999999999998,0.268,0.222,0.49,,
budd01,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
buddery01,29.0,33.0,2.0,7.0,2.0,0.0,1.0,4.0,0.0,0.0,13.0,2.0,1.0,1.0,12.0,3.0,0.212,0.22899999999999998,0.364,0.593,,
buddido01,711.0,2289.0,342.0,551.0,123.0,12.0,41.0,225.0,15.0,8.0,404.0,59.0,444.0,46.0,821.0,176.0,0.24100000000000002,0.358,0.359,0.7170000000000001,,
budzima01,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
buechst01,1334.0,4266.0,501.0,1046.0,183.0,21.0,137.0,547.0,17.0,28.0,842.0,107.0,482.0,73.0,1682.0,341.0,0.245,0.317,0.39399999999999996,0.711,0.0,0.0
bueloch01,22.0,72.0,3.0,8.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,12.0,4.0,0.111,0.147,0.16699999999999998,0.314,,
buelofr01,431.0,1334.0,125.0,256.0,25.0,18.0,6.0,112.0,20.0,0.0,0.0,0.0,81.0,53.0,335.0,49.0,0.192,0.23,0.251,0.48100000000000004,0.0,0.0
buesar01,16.0,46.0,3.0,10.0,1.0,1.0,0.0,4.0,1.0,0.0,7.0,0.0,5.0,0.0,13.0,2.0,0.217,0.294,0.28300000000000003,0.5770000000000001,,
buforda01,699.0,1853.0,280.0,448.0,86.0,9.0,54.0,218.0,56.0,35.0,430.0,37.0,197.0,26.0,714.0,149.0,0.242,0.311,0.385,0.696,0.0,0.0
bufordo01,1286.0,4553.0,718.0,1203.0,157.0,44.0,93.0,418.0,200.0,105.0,575.0,34.0,770.0,81.0,1727.0,294.0,0.264,0.365,0.379,0.7440000000000001,0.0,0.0
buhneja01,1472.0,5013.0,798.0,1273.0,233.0,19.0,310.0,965.0,6.0,24.0,1406.0,123.0,889.0,66.0,2474.0,562.0,0.254,0.36200000000000004,0.494,0.856,0.0018348623853211012,0.0
bukerha01,30.0,111.0,5.0,15.0,1.0,0.0,0.0,3.0,0.0,0.0,15.0,0.0,4.0,0.0,16.0,1.0,0.135,0.165,0.14400000000000002,0.309,,
bullage01,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
bullasi01,13.0,45.0,4.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,1.0,0.08900000000000001,0.109,0.133,0.242,,
bullesc01,247.0,374.0,49.0,87.0,10.0,9.0,6.0,42.0,19.0,9.0,102.0,7.0,29.0,4.0,133.0,25.0,0.233,0.285,0.35600000000000004,0.6409999999999999,,
bullibu01,138.0,345.0,34.0,77.0,11.0,0.0,3.0,28.0,2.0,1.0,41.0,9.0,49.0,6.0,97.0,14.0,0.223,0.315,0.281,0.596,,
bulloer01,131.0,146.0,13.0,30.0,6.0,0.0,1.0,12.0,9.0,2.0,23.0,3.0,13.0,1.0,39.0,7.0,0.205,0.26899999999999996,0.267,0.536,,
bumbral01,1496.0,5053.0,778.0,1422.0,220.0,52.0,54.0,402.0,254.0,92.0,709.0,74.0,522.0,74.0,1908.0,326.0,0.281,0.344,0.37799999999999995,0.722,0.0,0.0
buncejo01,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
burbrne01,58.0,170.0,11.0,47.0,8.0,1.0,0.0,15.0,1.0,1.0,13.0,5.0,16.0,2.0,57.0,9.0,0.276,0.335,0.335,0.67,,
burchal01,611.0,2185.0,254.0,554.0,48.0,20.0,4.0,103.0,96.0,0.0,52.0,0.0,187.0,40.0,654.0,72.0,0.254,0.307,0.299,0.606,,
burcher01,194.0,768.0,134.0,200.0,30.0,10.0,4.0,105.0,31.0,0.0,24.0,0.0,77.0,0.0,262.0,44.0,0.26,0.32799999999999996,0.341,0.669,,
burdabo01,388.0,634.0,53.0,142.0,21.0,0.0,13.0,78.0,2.0,1.0,65.0,15.0,86.0,14.0,202.0,34.0,0.22399999999999998,0.311,0.319,0.63,,
burdoja01,1187.0,4915.0,777.0,1230.0,164.0,50.0,18.0,503.0,59.0,13.0,328.0,0.0,150.0,0.0,1548.0,232.0,0.25,0.272,0.315,0.5870000000000001,0.0,0.0
burgesm01,1691.0,4471.0,485.0,1318.0,230.0,33.0,126.0,673.0,13.0,14.0,270.0,121.0,570.0,52.0,1992.0,389.0,0.295,0.371,0.446,0.8170000000000001,0.0054794520547945215,0.0
burgeto01,104.0,164.0,19.0,29.0,8.0,1.0,2.0,14.0,2.0,0.0,29.0,1.0,47.0,4.0,45.0,11.0,0.177,0.353,0.27399999999999997,0.627,,
burgjo01,13.0,46.0,7.0,15.0,0.0,1.0,0.0,10.0,5.0,0.0,12.0,0.0,7.0,1.0,17.0,1.0,0.326,0.40700000000000003,0.37,0.777,,
burgobi01,44.0,158.0,18.0,47.0,6.0,2.0,2.0,12.0,1.0,5.0,4.0,2.0,16.0,0.0,63.0,10.0,0.297,0.36200000000000004,0.39899999999999997,0.7609999999999999,,
buricbi01,27.0,81.0,4.0,23.0,1.0,0.0,0.0,7.0,2.0,0.0,13.0,1.0,6.0,1.0,24.0,1.0,0.284,0.33,0.29600000000000004,0.626,,
burkach01,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
burkech01,477.0,1267.0,176.0,303.0,71.0,6.0,23.0,111.0,40.0,11.0,243.0,26.0,153.0,32.0,455.0,100.0,0.239,0.314,0.359,0.6729999999999999,,
burkeda01,42.0,126.0,15.0,22.0,1.0,0.0,0.0,9.0,2.0,0.0,2.0,0.0,24.0,0.0,23.0,1.0,0.175,0.307,0.183,0.49,,
burkeed01,853.0,3508.0,744.0,979.0,142.0,57.0,30.0,410.0,291.0,0.0,228.0,0.0,393.0,17.0,1325.0,229.0,0.27899999999999997,0.35,0.37799999999999995,0.728,0.0,0.0
burkefr01,51.0,138.0,8.0,26.0,1.0,2.0,0.0,9.0,4.0,0.0,0.0,0.0,12.0,5.0,31.0,3.0,0.188,0.245,0.225,0.47,,
burkegl01,225.0,523.0,50.0,124.0,18.0,2.0,2.0,38.0,35.0,16.0,70.0,14.0,27.0,9.0,152.0,22.0,0.237,0.27,0.29100000000000004,0.561,,
burkeja02,191.0,390.0,53.0,108.0,20.0,0.0,3.0,39.0,0.0,2.0,57.0,10.0,31.0,11.0,137.0,23.0,0.27699999999999997,0.322,0.35100000000000003,0.6729999999999999,,
burkeje01,2066.0,8421.0,1720.0,2850.0,320.0,182.0,75.0,952.0,389.0,0.0,230.0,0.0,1104.0,80.0,3759.0,577.0,0.33799999999999997,0.41200000000000003,0.446,0.858,0.017167381974248927,0.0
