player_id,w,l,g,cg,sho,sv,ipouts,h,er,hr,so,BB,ERA,WHIP,BAA,K/9,BB/9,K/BB,VOTE%,inducted
armstja01,40,65,152,4,1,0,2360.0,807,400,102,510,358.0,4.58,1.4809999999999999,0.261,5.83,4.1,1.42,0.0,0.0
armstmi01,19,17,197,0,0,11,1014.0,300,154,42,221,181.0,4.1,1.423,0.23800000000000002,5.88,4.82,1.22,0.0,0.0
arnolja01,2,7,50,0,0,2,325.0,119,69,7,42,70.0,5.73,1.745,0.285,3.49,5.82,0.6,0.0,0.0
arntzor01,4,13,32,9,0,0,493.0,172,77,5,66,74.0,4.22,1.4969999999999999,0.271,3.61,4.05,0.89,0.0,0.0
arochre01,18,17,124,2,1,11,993.0,363,151,37,190,98.0,4.11,1.393,0.278,5.17,2.66,1.94,0.0,0.0
arredjo01,22,11,214,0,0,1,660.0,182,80,21,212,123.0,3.27,1.386,0.228,8.67,5.03,1.72,0.0,0.0
arrieja01,56,38,136,5,4,0,2386.0,666,327,70,717,312.0,3.7,1.23,0.22699999999999998,8.11,3.53,2.3,0.0,0.0
arrigge01,35,40,194,9,3,4,1860.0,605,285,56,433,339.0,4.14,1.5230000000000001,0.254,6.29,4.92,1.28,0.0,0.0
arrojro01,40,42,158,4,2,6,2100.0,715,354,83,512,337.0,4.55,1.5030000000000001,0.267,6.58,4.33,1.52,0.0,0.0
arroybr01,145,131,405,16,6,1,7094.0,2413,1100,324,1526,803.0,4.19,1.36,0.266,5.81,3.06,1.9,0.0,0.0
arroylu01,40,32,244,10,1,44,1594.0,524,232,58,336,254.0,3.93,1.464,0.254,5.69,4.3,1.32,0.0,0.0
arroyru01,0,1,9,0,0,0,35.0,18,7,2,5,6.0,5.4,2.057,0.36700000000000005,3.86,4.63,0.83,0.0,0.0
arundha01,5,11,16,14,0,0,394.0,169,66,3,51,27.0,4.52,1.492,18.778,3.49,1.85,1.89,0.0,0.0
ascanjo01,1,3,43,0,0,0,138.0,57,27,7,41,30.0,5.28,1.891,0.31,8.02,5.87,1.37,0.0,0.0
asencmi01,7,8,42,1,0,0,538.0,199,102,22,92,98.0,5.12,1.656,0.28600000000000003,4.62,4.92,0.94,0.0,0.0
ashbyan01,98,110,309,21,7,1,5432.0,1857,829,205,1173,650.0,4.12,1.385,0.266,5.83,3.23,1.8,0.0,0.0
asheral01,0,6,7,0,0,0,87.0,42,30,8,16,11.0,9.31,1.828,0.33899999999999997,4.97,3.41,1.45,0.0,0.0
ashke01,6,8,55,5,0,2,484.0,178,89,6,47,65.0,4.96,1.506,0.285,2.62,3.63,0.72,0.0,0.0
assenpa01,61,44,884,0,0,56,2567.0,817,336,73,807,415.0,3.53,1.44,0.251,8.49,4.37,1.94,0.0,0.0
