player_id,seasons_played,All-Star,TripleCrown,MVP,CYA,3000H,500HR,1500RBI,3000K,300W,300SV,w,l,g,cg,sho,sv,ipouts,h,er,hr,so,BB,ERA,WHIP,BAA,K/9,BB/9,K/BB,inducted
martira02,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135,88,301,37,20,0,5687.0,1691,772,170,1427,902.0,3.67,1.368,0.23600000000000002,6.77,4.28,1.58,0.0
martito02,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,9,376,0,0,3,950.0,339,173,36,224,175.0,4.92,1.6230000000000002,0.27699999999999997,6.37,4.97,1.28,0.0
meyerru01,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94,73,319,65,13,5,4594.0,1606,679,136,672,566.0,3.99,1.4180000000000001,0.267,3.95,3.33,1.19,0.0
neaglde01,15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124,92,392,20,7,3,5671.0,1887,891,250,1415,691.0,4.24,1.364,0.259,6.74,3.29,2.05,0.0
navarja01,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116,126,361,32,8,2,6166.0,2313,1078,214,1113,801.0,4.72,1.515,0.282,4.87,3.51,1.39,0.0
nagych01,14.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129,105,318,31,6,0,5864.0,2188,980,217,1242,674.0,4.51,1.464,0.282,5.72,3.1,1.84,0.0
myersmi01,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,24,883,0,0,14,1625.0,525,258,58,429,332.0,4.29,1.5819999999999999,0.258,7.13,5.52,1.29,0.0
nelsoge01,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53,64,493,6,1,28,3240.0,1061,496,117,655,483.0,4.13,1.43,0.254,5.46,4.03,1.36,0.0
nelsoje01,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48,45,798,0,0,33,2354.0,633,297,55,829,551.0,3.41,1.5090000000000001,0.22399999999999998,9.51,6.32,1.5,0.0
muncrbo01,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80,82,288,67,11,9,4204.0,1503,592,108,525,407.0,3.8,1.3630000000000002,0.27,3.37,2.61,1.29,0.0
mungere01,11.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77,56,273,54,13,12,3686.0,1243,523,86,564,517.0,3.83,1.432,0.261,4.13,3.79,1.09,0.0
munozmi01,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,20,453,0,0,11,1093.0,408,210,34,240,200.0,5.19,1.669,0.285,5.93,4.94,1.2,0.0
murphto02,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68,101,439,22,3,59,4332.0,1425,606,123,621,629.0,3.78,1.422,0.261,3.87,3.92,0.99,0.0
murphro01,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,38,597,0,0,30,1870.0,598,252,54,520,293.0,3.64,1.429,0.253,7.51,4.23,1.77,0.0
murphjo04,13.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93,53,415,17,0,107,3135.0,985,406,52,378,449.0,3.5,1.3719999999999999,0.245,3.26,3.87,0.84,0.0
murrada01,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53,50,518,0,0,60,2707.0,976,386,40,400,423.0,3.85,1.55,0.28,3.99,4.22,0.95,0.0
micelda01,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,52,631,0,0,39,2102.0,684,349,93,632,377.0,4.48,1.514,0.256,8.12,4.84,1.68,0.0
nottedo01,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,51,296,16,2,21,2785.0,902,377,69,525,330.0,3.65,1.327,0.252,5.09,3.2,1.59,0.0
nunezvl01,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,34,254,0,0,21,1326.0,430,237,55,327,231.0,4.83,1.495,0.26,6.66,4.7,1.42,0.0
nuxhajo01,17.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135,117,526,83,20,19,6908.0,2310,998,209,1372,890.0,3.9,1.39,0.259,5.36,3.48,1.54,0.0
ojedabo01,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115,98,351,41,16,1,5653.0,1833,764,145,1128,748.0,3.65,1.37,0.254,5.39,3.57,1.51,0.0
ohkato01,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51,68,202,5,1,0,3210.0,1182,506,140,590,363.0,4.26,1.444,0.28300000000000003,4.96,3.05,1.63,0.0
odellbi01,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105,100,479,63,13,48,5451.0,1697,665,137,1133,664.0,3.29,1.2990000000000002,0.243,5.61,3.29,1.71,0.0
odombl01,15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84,85,295,40,15,1,4527.0,1362,620,103,857,864.0,3.7,1.475,0.24,5.11,5.15,0.99,0.0
odonojo01,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39,55,257,13,4,10,2253.0,780,340,78,377,300.0,4.07,1.4380000000000002,0.266,4.52,3.6,1.26,0.0
niedeto01,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,46,484,0,0,97,1959.0,601,239,60,474,306.0,3.29,1.389,0.247,6.53,4.22,1.55,0.0
niggejo01,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,69,184,81,12,0,3752.0,1111,447,60,620,550.0,3.22,1.328,0.23199999999999998,4.46,3.96,1.13,0.0
normafr01,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104,103,403,56,15,8,5819.0,1790,784,188,1303,917.0,3.64,1.396,0.243,6.05,4.25,1.42,0.0
nomohi01,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123,109,323,16,9,0,5929.0,1768,932,251,1918,977.0,4.24,1.389,0.239,8.73,4.45,1.96,0.0
norrimi01,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58,59,201,52,7,0,3373.0,972,486,108,636,560.0,3.89,1.3630000000000002,0.22899999999999998,5.09,4.48,1.14,0.0
